nohup: ignoring input
2026-05-30 21:02:33 INFO umbrella_rag.embeddings.encoder Embedding device: cuda
2026-05-30 21:02:42 INFO umbrella_rag.ingestion.pipeline Parsed 5557 useful pages, skipped 208 pages
2026-05-30 21:02:44 WARNING umbrella_rag.ingestion.chunker Section 1 produced zero chunks (empty text)
2026-05-30 21:02:44 WARNING umbrella_rag.ingestion.chunker Section 3.5 produced zero chunks (empty text)
2026-05-30 21:02:44 WARNING umbrella_rag.ingestion.chunker Section 3.6.2 produced zero chunks (empty text)
2026-05-30 21:02:44 WARNING umbrella_rag.ingestion.chunker Section 3.6.11 produced zero chunks (empty text)
2026-05-30 21:02:44 WARNING umbrella_rag.ingestion.chunker Section 4 produced zero chunks (empty text)
2026-05-30 21:02:44 WARNING umbrella_rag.ingestion.chunker Section 4.2.2 produced zero chunks (empty text)
2026-05-30 21:02:44 WARNING umbrella_rag.ingestion.chunker Section 1 produced zero chunks (empty text)
2026-05-30 21:02:44 WARNING umbrella_rag.ingestion.chunker Section 3 produced zero chunks (empty text)
2026-05-30 21:02:44 WARNING umbrella_rag.ingestion.chunker Section 3 produced zero chunks (empty text)
2026-05-30 21:02:44 WARNING umbrella_rag.ingestion.chunker Section 1 produced zero chunks (empty text)
2026-05-30 21:02:44 WARNING umbrella_rag.ingestion.chunker Section 3 produced zero chunks (empty text)
2026-05-30 21:02:44 WARNING umbrella_rag.ingestion.chunker Section 3 produced zero chunks (empty text)
2026-05-30 21:02:45 WARNING umbrella_rag.ingestion.chunker Section 1 produced zero chunks (empty text)
2026-05-30 21:02:45 WARNING umbrella_rag.ingestion.chunker Section 0.64 produced zero chunks (empty text)
2026-05-30 21:02:45 WARNING umbrella_rag.ingestion.chunker Section 1.28 produced zero chunks (empty text)
2026-05-30 21:02:45 WARNING umbrella_rag.ingestion.chunker Section 0.64 produced zero chunks (empty text)
2026-05-30 21:02:45 WARNING umbrella_rag.ingestion.chunker Section 1.28 produced zero chunks (empty text)
2026-05-30 21:02:45 WARNING umbrella_rag.ingestion.chunker Section 4.3 produced zero chunks (empty text)
2026-05-30 21:02:45 WARNING umbrella_rag.ingestion.chunker Section 4.4 produced zero chunks (empty text)
2026-05-30 21:02:45 WARNING umbrella_rag.ingestion.chunker Section 4.5 produced zero chunks (empty text)
2026-05-30 21:02:45 WARNING umbrella_rag.ingestion.chunker Section 4.5.3 produced zero chunks (empty text)
2026-05-30 21:02:45 WARNING umbrella_rag.ingestion.chunker Section 4.5.4 produced zero chunks (empty text)
2026-05-30 21:02:45 WARNING umbrella_rag.ingestion.chunker Section 4.5.5 produced zero chunks (empty text)
2026-05-30 21:02:45 WARNING umbrella_rag.ingestion.chunker Section 4.6 produced zero chunks (empty text)
2026-05-30 21:02:45 WARNING umbrella_rag.ingestion.chunker Section 4.6.2 produced zero chunks (empty text)
2026-05-30 21:02:45 WARNING umbrella_rag.ingestion.chunker Section 4.6.4 produced zero chunks (empty text)
2026-05-30 21:02:45 WARNING umbrella_rag.ingestion.chunker Section 4.7 produced zero chunks (empty text)
2026-05-30 21:02:45 WARNING umbrella_rag.ingestion.chunker Section 4.7.2 produced zero chunks (empty text)
2026-05-30 21:02:45 WARNING umbrella_rag.ingestion.chunker Section 5 produced zero chunks (empty text)
2026-05-30 21:02:45 WARNING umbrella_rag.ingestion.chunker Section 5.1 produced zero chunks (empty text)
2026-05-30 21:02:45 WARNING umbrella_rag.ingestion.chunker Section 5.1.2 produced zero chunks (empty text)
2026-05-30 21:02:45 WARNING umbrella_rag.ingestion.chunker Section 5.6 produced zero chunks (empty text)
2026-05-30 21:02:45 WARNING umbrella_rag.ingestion.chunker Section 5.6.2 produced zero chunks (empty text)
2026-05-30 21:02:45 WARNING umbrella_rag.ingestion.chunker Section 5.6.3 produced zero chunks (empty text)
2026-05-30 21:02:45 WARNING umbrella_rag.ingestion.chunker Section 5.6.4 produced zero chunks (empty text)
2026-05-30 21:02:45 WARNING umbrella_rag.ingestion.chunker Section 5.6.5 produced zero chunks (empty text)
2026-05-30 21:02:45 WARNING umbrella_rag.ingestion.chunker Section 5.6.7 produced zero chunks (empty text)
2026-05-30 21:02:45 WARNING umbrella_rag.ingestion.chunker Section 5.8 produced zero chunks (empty text)
2026-05-30 21:02:45 WARNING umbrella_rag.ingestion.chunker Section 5.8.2 produced zero chunks (empty text)
2026-05-30 21:02:45 WARNING umbrella_rag.ingestion.chunker Section 6 produced zero chunks (empty text)
2026-05-30 21:02:45 WARNING umbrella_rag.ingestion.chunker Section 6.1 produced zero chunks (empty text)
2026-05-30 21:02:45 WARNING umbrella_rag.ingestion.chunker Section 6.1.1 produced zero chunks (empty text)
2026-05-30 21:02:45 WARNING umbrella_rag.ingestion.chunker Section 6.1.2 produced zero chunks (empty text)
2026-05-30 21:02:45 WARNING umbrella_rag.ingestion.chunker Section 6.1.2.1 produced zero chunks (empty text)
2026-05-30 21:02:45 WARNING umbrella_rag.ingestion.chunker Section 6.1.2.2 produced zero chunks (empty text)
2026-05-30 21:02:45 WARNING umbrella_rag.ingestion.chunker Section 6.1.3 produced zero chunks (empty text)
2026-05-30 21:02:45 WARNING umbrella_rag.ingestion.chunker Section 6.1.4 produced zero chunks (empty text)
2026-05-30 21:02:45 WARNING umbrella_rag.ingestion.chunker Section 6.1.5 produced zero chunks (empty text)
2026-05-30 21:02:45 WARNING umbrella_rag.ingestion.chunker Section 6.2.2 produced zero chunks (empty text)
2026-05-30 21:02:45 WARNING umbrella_rag.ingestion.chunker Section 6.2.3 produced zero chunks (empty text)
2026-05-30 21:02:45 WARNING umbrella_rag.ingestion.chunker Section 6.2.3.2 produced zero chunks (empty text)
2026-05-30 21:02:45 WARNING umbrella_rag.ingestion.chunker Section 6.3 produced zero chunks (empty text)
2026-05-30 21:02:45 WARNING umbrella_rag.ingestion.chunker Section 6.3.1 produced zero chunks (empty text)
2026-05-30 21:02:45 WARNING umbrella_rag.ingestion.chunker Section 7 produced zero chunks (empty text)
2026-05-30 21:02:45 WARNING umbrella_rag.ingestion.chunker Section 7.1 produced zero chunks (empty text)
2026-05-30 21:02:45 WARNING umbrella_rag.ingestion.chunker Section 7.2 produced zero chunks (empty text)
2026-05-30 21:02:45 WARNING umbrella_rag.ingestion.chunker Section 7.3 produced zero chunks (empty text)
2026-05-30 21:02:45 WARNING umbrella_rag.ingestion.chunker Section 7.3.2 produced zero chunks (empty text)
2026-05-30 21:02:45 WARNING umbrella_rag.ingestion.chunker Section 7.4 produced zero chunks (empty text)
2026-05-30 21:02:45 WARNING umbrella_rag.ingestion.chunker Section 7.5 produced zero chunks (empty text)
2026-05-30 21:02:45 WARNING umbrella_rag.ingestion.chunker Section 34.6 produced zero chunks (empty text)
2026-05-30 21:02:45 WARNING umbrella_rag.ingestion.chunker Section 26.1 produced zero chunks (empty text)
2026-05-30 21:02:45 WARNING umbrella_rag.ingestion.chunker Section 7.6 produced zero chunks (empty text)
2026-05-30 21:02:45 WARNING umbrella_rag.ingestion.chunker Section 25 produced zero chunks (empty text)
2026-05-30 21:02:45 WARNING umbrella_rag.ingestion.chunker Section 8.1.2 produced zero chunks (empty text)
2026-05-30 21:02:45 WARNING umbrella_rag.ingestion.chunker Section 2 produced zero chunks (empty text)
2026-05-30 21:02:45 WARNING umbrella_rag.ingestion.chunker Section 2 produced zero chunks (empty text)
2026-05-30 21:02:45 WARNING umbrella_rag.ingestion.chunker Section 3 produced zero chunks (empty text)
2026-05-30 21:02:45 WARNING umbrella_rag.ingestion.chunker Section 3 produced zero chunks (empty text)
2026-05-30 21:02:45 WARNING umbrella_rag.ingestion.chunker Section 8.1.3 produced zero chunks (empty text)
2026-05-30 21:02:45 WARNING umbrella_rag.ingestion.chunker Section 2 produced zero chunks (empty text)
2026-05-30 21:02:45 WARNING umbrella_rag.ingestion.chunker Section 2 produced zero chunks (empty text)
2026-05-30 21:02:45 WARNING umbrella_rag.ingestion.chunker Section 2 produced zero chunks (empty text)
2026-05-30 21:02:45 WARNING umbrella_rag.ingestion.chunker Section 2 produced zero chunks (empty text)
2026-05-30 21:02:45 WARNING umbrella_rag.ingestion.chunker Section 8.2 produced zero chunks (empty text)
2026-05-30 21:02:45 WARNING umbrella_rag.ingestion.chunker Section 8.2.1 produced zero chunks (empty text)
2026-05-30 21:02:45 WARNING umbrella_rag.ingestion.chunker Section 8.2.1.2 produced zero chunks (empty text)
2026-05-30 21:02:45 WARNING umbrella_rag.ingestion.chunker Section 8.2.2 produced zero chunks (empty text)
2026-05-30 21:02:45 WARNING umbrella_rag.ingestion.chunker Section 8.2.2.2 produced zero chunks (empty text)
2026-05-30 21:02:45 WARNING umbrella_rag.ingestion.chunker Section 0.25 produced zero chunks (empty text)
2026-05-30 21:02:45 WARNING umbrella_rag.ingestion.chunker Section 0.125 produced zero chunks (empty text)
2026-05-30 21:02:45 WARNING umbrella_rag.ingestion.chunker Section 0.125 produced zero chunks (empty text)
2026-05-30 21:02:45 WARNING umbrella_rag.ingestion.chunker Section 8.2.3 produced zero chunks (empty text)
2026-05-30 21:02:45 WARNING umbrella_rag.ingestion.chunker Section 8.2.3.2 produced zero chunks (empty text)
2026-05-30 21:02:45 WARNING umbrella_rag.ingestion.chunker Section 5 produced zero chunks (empty text)
2026-05-30 21:02:45 WARNING umbrella_rag.ingestion.chunker Section 8.2.4 produced zero chunks (empty text)
2026-05-30 21:02:45 WARNING umbrella_rag.ingestion.chunker Section 8.2.4.2 produced zero chunks (empty text)
2026-05-30 21:02:45 WARNING umbrella_rag.ingestion.chunker Section 33 produced zero chunks (empty text)
2026-05-30 21:02:45 WARNING umbrella_rag.ingestion.chunker Section 8.3 produced zero chunks (empty text)
2026-05-30 21:02:45 WARNING umbrella_rag.ingestion.chunker Section 8.4 produced zero chunks (empty text)
2026-05-30 21:02:45 WARNING umbrella_rag.ingestion.chunker Section 2 produced zero chunks (empty text)
